name,location,rating,votes,cost,cuisines
Warm Oven,Kalyan Nagar,3.8,24,500.0,"Bakery, Desserts"
Hotel Zam Zam,Hennur,3.2,30,300.0,"North Indian, Chinese"
New Kairali Restaurant,Kammanahalli,3.7,93,400.0,"Kerala, South Indian"
Sanky's Burger House,Hennur,4.3,332,300.0,"Burger, Fast Food"
De Grand Restaurant,Banaswadi,3.8,257,600.0,"North Indian, Chinese"
Inchara Restaurant,Banaswadi,3.4,182,500.0,"Chinese, North Indian, Hyderabadi, Biryani"
Roll N Roll,Nagawara,3.8,61,200.0,"Fast Food, Rolls"
Zamindar,Kalyan Nagar,4.4,347,600.0,"Biryani, Chinese, Mughlai, Andhra"
Dunkin' Donuts,Nagawara,4.0,156,550.0,"Burger, Desserts, Fast Food"
Bombay Sandwich Company,Hennur,3.7,41,400.0,"Sandwich, Beverages"
Balle Balle Dhaba,Kalyan Nagar,3.6,195,500.0,"North Indian, Chinese"
Chickpet Donne Biriyani Mane,Kalyan Nagar,3.0,16,350.0,"Biryani, Kebab"
Keto Kitchen,Kalyan Nagar,3.8,140,700.0,"Healthy Food, Continental, North Indian"
Kabab Palace,Nagawara,3.4,7,600.0,"North Indian, Chinese, Rolls"
Udupi Sri Krishna Cafe,Banaswadi,3.7,15,200.0,"South Indian, North Indian"
Sri Sagar,Kammanahalli,3.7,27,300.0,"South Indian, North Indian, Chinese, Street Food, Juices"
Connie's Restaurant & Steakhouse,Kammanahalli,4.3,1437,1500.0,"Steak, Continental, Burger, American, BBQ, European, Salad"
Chai Point,Nagawara,3.8,38,250.0,"Tea, Beverages, Fast Food"
World In A Bowl,Hennur,3.6,38,600.0,"Continental, North Indian, Desserts, Beverages"
The London Shakes,Banaswadi,3.1,25,400.0,"Beverages, Fast Food, Italian"
The Blue Bawarchi,Nagawara,3.6,34,300.0,"Chinese, Oriya, North Indian, Bengali"
Taste Of Nawaabs,Banaswadi,3.5,324,600.0,"North Indian, Mughlai"
Panda Boy,Kammanahalli,3.9,115,550.0,Chinese
Indiana Burgers,Kalyan Nagar,3.4,38,300.0,Burger
Facebake,Rammurthy Nagar,3.7,50,300.0,"Desserts, Bakery"
Keventers,Kalyan Nagar,3.7,34,400.0,"Desserts, Beverages, Ice Cream"
YumYumDilli,Hennur,3.2,107,500.0,North Indian
Sweet Truth,Kalyan Nagar,3.9,35,500.0,"Bakery, Desserts"
New Biriyani Darbar,RT Nagar,3.6,68,450.0,"Biryani, South Indian, North Indian, Chinese"
Cafe Pink Pajamas,Kalyan Nagar,4.1,577,700.0,"Cafe, Italian"
Janatha Cafe,Hennur,3.2,22,400.0,"South Indian, Kerala"
Currylicious,Nagawara,3.4,58,500.0,"South Indian, Mangalorean, Kerala"
Nadeem's Kitchen,Hennur,2.9,7,500.0,"Biryani, Kebab"
Wangs Kitchen,Nagawara,2.7,64,700.0,Chinese
Healthie,Hennur,3.3,80,600.0,"Healthy Food, Beverages"
Firangi Bake,Kalyan Nagar,4.1,23,600.0,"Mexican, Italian"
Pasta Factory,Nagawara,4.0,177,600.0,"Continental, Italian, Burger, American"
Samovar,Kammanahalli,3.9,190,600.0,"Kerala, South Indian"
Faasos,Kammanahalli,3.8,140,500.0,"North Indian, Biryani, Fast Food"
Biryani Hub,Nagawara,3.2,87,600.0,"North Indian, South Indian, Biryani"
Upahara Mandira,HBR Layout,3.9,24,300.0,"South Indian, North Indian, Chinese"
Big Chicken,Kammanahalli,3.9,110,400.0,Fast Food
Foodies Choice,Nagawara,3.7,48,150.0,"Arabian, Chinese, Fast Food, Beverages"
Chickpet Donne Biriyani Mane,Nagawara,2.7,37,150.0,"Biryani, South Indian, Kebab"
Crunch Pizzas,Banaswadi,2.6,227,600.0,"Italian, Pizza"
Akshaya Family Restaurant,Banaswadi,3.2,4,150.0,"South Indian, North Indian"
Dreamland Food Corner,Hennur,3.7,42,400.0,"Fast Food, Desserts"
Home Food,Kammanahalli,3.4,13,300.0,South Indian
Cafe Zamorin,Hennur,3.7,23,300.0,"Chinese, Kerala"
Doctor Juice,Kammanahalli,3.9,42,300.0,"Juices, Healthy Food"
JS Food Court,Kammanahalli,3.8,128,400.0,"Fast Food, Juices"
Shandong,Hennur,4.0,220,500.0,"Chinese, Momos"
The Chinese Table,Nagawara,3.0,13,400.0,"Chinese, Thai, Pan Asian"
Food Magic Restaurant,Kalyan Nagar,3.8,88,400.0,"Kerala, North Indian, Chinese, Arabian"
WOW! Momo,Nagawara,3.6,90,400.0,"Tibetan, Momos"
Savoury Restaurant,Kammanahalli,3.7,370,800.0,"Arabian, North Indian, Chinese, Beverages"
YumYumSouth,Hennur,3.0,54,600.0,South Indian
BIB - Breakfast in the Box,Kammanahalli,3.5,41,600.0,"American, Sandwich"
One For The Road,Nagawara,4.5,755,1300.0,"Continental, North Indian, Finger Food"
Tamarind - Tamarind Hospitality,Banaswadi,3.9,611,750.0,"Chinese, Continental, North Indian"
Cold Smith Ice Creams,Nagawara,4.1,24,450.0,"Ice Cream, Desserts"
Dilli Dil Se..,Nagawara,3.8,103,400.0,North Indian
Despiwich Dragon's Kitchen,Banaswadi,3.9,71,250.0,"Chinese, Fast Food"
Truffles,Kalyan Nagar,4.5,1181,900.0,"Cafe, American, Burger, Steak"
Casa De Goa,Kalyan Nagar,4.2,341,1400.0,"Goan, Mangalorean"
Pizza Stop,Banaswadi,3.8,151,500.0,"Pizza, Italian"
Thanco's Natural Ice Cream,Banaswadi,3.8,109,450.0,"Ice Cream, Desserts"
InnerChef,Hennur,3.1,78,500.0,"North Indian, Continental"
Gowdru Hotel,Banaswadi,3.4,78,400.0,"South Indian, Biryani"
Calicut Restaurant,Kammanahalli,3.6,76,450.0,"Kerala, South Indian, North Indian, Chinese"
Ibaco,Nagawara,3.9,84,300.0,Desserts
Kapoor's Cafe,Kalyan Nagar,4.1,470,800.0,North Indian
Foreign CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Hennur,3.7,57,500.0,Continental
RICE BAR,Kalyan Nagar,3.1,20,500.0,"North Indian, Biryani"
La' Meze,Nagawara,3.6,31,350.0,Fast Food
Cafe Coffee Day,Nagawara,3.0,17,650.0,Cafe
Punjabi Chulha,Nagawara,2.9,18,400.0,North Indian
Shahi Hyderabadi Dum Biryani,Kalyan Nagar,3.1,150,500.0,"North Indian, Biryani"
Alter Ego D'Deli,Kalyan Nagar,3.8,140,650.0,"Cafe, Continental, Italian, Burger, Pizza, Salad, Steak"
Purvanchal Tokri,Banaswadi,3.7,23,400.0,"North Indian, Chinese"
Five Star Chicken,Hennur,3.7,29,300.0,"Roast Chicken, Burger"
Brindavan Veg,HBR Layout,3.7,20,350.0,"South Indian, North Indian, Chinese, Street Food"
Domino's Pizza,Kalyan Nagar,3.4,378,400.0,"Pizza, Fast Food"
Anu Momos Chinese Kitchen,Kammanahalli,3.7,118,450.0,"Chinese, Thai, Momos"
Ammi's Biryani,Kalyan Nagar,2.7,171,500.0,"Biryani, North Indian"
Cafe Azzure,Kalyan Nagar,4.2,559,1200.0,"Cafe, Continental, Italian, Burger"
PurpleBasil.in,Kammanahalli,4.1,77,500.0,"Healthy Food, Desserts"
Wild Range Restaurant,Kammanahalli,3.8,44,600.0,"North Indian, Chinese"
Marhaba,Nagawara,3.6,42,600.0,"Arabian, Mediterranean, North Indian"
Avista Cafe Pizzeria,Hennur,4.5,506,650.0,"Cafe, Italian"
Vijaya Gardenia,Banaswadi,3.3,63,500.0,"North Indian, Chinese, Andhra"
Goli Vada Pav No. 1,Kalyan Nagar,3.7,91,200.0,Street Food
Chaai Resto,Kalyan Nagar,3.9,97,350.0,"Cafe, Fast Food, Beverages"
Zaica Dine & Wine,Nagawara,4.0,694,1200.0,"North Indian, Mughlai"
Cafe Bangalore,Hennur,3.4,6,300.0,Fast Food
Crunch Pizzas,Banaswadi,2.9,77,400.0,Pizza
Juice Fresco,Nagawara,3.3,15,150.0,Beverages
INDULGE by InnerChef,Hennur,3.1,27,400.0,"Desserts, Bakery"
The Belgian Waffle Co.,Kalyan Nagar,3.8,32,350.0,"Desserts, Beverages"
Sweet Moments Express,Kammanahalli,3.7,18,200.0,"Mithai, Street Food"
Frozen Bottle,Kalyan Nagar,3.9,55,400.0,"Beverages, Desserts, Ice Cream"
Mummy's Kitchen,Banaswadi,3.5,9,300.0,South Indian
Hotel Little Imperial,Kalyan Nagar,3.7,91,500.0,"North Indian, Chinese, South Indian"
Kloudish Kitchen,Hennur,3.5,15,250.0,"North Indian, South Indian"
Paratha Singh,Kalyan Nagar,4.0,297,350.0,North Indian
Hotel New Karavali,Hennur,3.4,8,550.0,"Chinese, Mangalorean, Seafood, North Indian"
Hi Seoul,Kalyan Nagar,4.1,200,800.0,Korean
My Little China,Hennur,3.7,32,300.0,"Chinese, North Indian"
S K Ruchi,Banaswadi,3.3,11,300.0,Chinese
Sannidhi Grand,Kammanahalli,3.8,49,300.0,"South Indian, North Indian, Chinese, Street Food"
Amigos Kitchen,Banaswadi,3.7,64,400.0,"Chinese, North Indian, Mexican, Fast Food"
Sarah's,Rammurthy Nagar,3.8,42,400.0,"Fast Food, Desserts"
A2B - Adyar Ananda Bhavan,Nagawara,2.7,194,400.0,"South Indian, North Indian, Chinese, Street Food, Fast Food"
The Chocolate Heaven,Kalyan Nagar,4.1,399,700.0,"Desserts, Cafe, Italian, Beverages"
Teapoy Mutiny,Hennur,4.1,98,500.0,"Cafe, Continental, American, Beverages"
Sizzling Szechuan,Banaswadi,3.9,224,600.0,"Chinese, Thai, Seafood"
The Bawarchi,Banaswadi,2.6,254,1050.0,"North Indian, Chinese"
Leon Grill,Kalyan Nagar,4.2,386,500.0,"Burger, Fast Food"
Twilight Global Restaurant,Kalyan Nagar,3.5,22,600.0,"North Indian, Chinese"
Ginger Greens,Kalyan Nagar,3.9,300,750.0,"Andhra, Chinese, North Indian"
Chef Baker's,Nagawara,2.9,36,600.0,"Bakery, Fast Food, Pizza, Burger, Cafe"
The Chocolate Heaven - Cakes,Kalyan Nagar,3.9,64,600.0,"Desserts, Bakery, Beverages"
Navarang Fast Food,Kammanahalli,3.6,114,300.0,"North Indian, Chinese, Kebab, Rolls"
Giselle Resto Cafe,Kammanahalli,4.1,840,800.0,"Cafe, Italian, Pizza, Beverages, Desserts"
Empire Restaurant,Kammanahalli,4.0,3128,750.0,"North Indian, Mughlai, South Indian, Chinese"
Chetty's Corner,Kammanahalli,3.6,18,200.0,"Fast Food, Burger"
McDonald's,Nagawara,4.0,91,500.0,"Burger, Fast Food"
Desi Bites,Nagawara,3.7,145,600.0,"Rajasthani, North Indian, Chinese"
The Local,Kalyan Nagar,4.2,1196,1400.0,"Finger Food, Continental, Italian, Salad"
Eagles Pizza,Kalyan Nagar,3.8,22,650.0,"Pizza, Italian"
Cafe Nukkad,Kalyan Nagar,4.0,89,200.0,Fast Food
Lassi Corner,Rammurthy Nagar,2.9,28,200.0,"Beverages, Desserts"
Yomama!!,Kammanahalli,3.6,104,800.0,"Continental, Burger, Cafe, Steak"
Just Bake,Hennur,2.9,19,400.0,"Bakery, Desserts"
Nihas Hyderabadi Biryani,Nagawara,3.2,17,300.0,"Andhra, Chinese, North Indian, South Indian"
American Bites,Nagawara,3.0,7,450.0,Fast Food
Cream & Fudge,Nagawara,3.1,6,250.0,"Ice Cream, Desserts"
Breezy Cow Bar,Kalyan Nagar,4.0,96,400.0,Beverages
The Milkshake Theory,Hennur,3.5,17,400.0,"Beverages, Fast Food"
Paaramparya Restaurant,Kammanahalli,3.6,20,600.0,"Chettinad, Mangalorean, South Indian, North Indian"
Fine Food Restaurant,Hennur,3.4,26,500.0,"North Indian, Chinese, Fast Food"
The Fiery Indian Kitchen,Nagawara,3.5,49,600.0,North Indian
Food Time Now,Rammurthy Nagar,3.1,10,500.0,"North Indian, Mughlai, Biryani"
Meghana Biriyanis,Nagawara,3.9,375,400.0,"Andhra, Biryani, South Indian, Chinese"
Countryside - The Taste of Chettinad,Kalyan Nagar,3.9,293,900.0,"Seafood, Biryani, South Indian, Chettinad"
Waffle Stories,Banaswadi,3.8,31,300.0,"Desserts, Beverages"
Hungry Vihaari,Kalyan Nagar,3.9,36,800.0,"Continental, Burger, Salad, Pizza, Beverages"
Regency Park,Kammanahalli,3.6,147,700.0,"North Indian, Chinese, Seafood, Rolls"
Kobe Sizzlers,Nagawara,4.0,398,1500.0,"American, Continental, Fast Food, Steak"
Curries & Chillies,Kalyan Nagar,3.1,13,400.0,Andhra
UBQ By Barbeque Nation,Kalyan Nagar,3.1,14,450.0,"North Indian, BBQ, Biryani, Kebab"
Oye Hoye,Kalyan Nagar,3.8,69,300.0,North Indian
Coffee Mechanics,HBR Layout,4.3,191,700.0,"Cafe, Bakery, French, Jewish, Sandwich, Vegan, Coffee"
Baskin Robbins,Nagawara,3.7,35,250.0,"Ice Cream, Desserts"
Ambujam's Chettinad Mess,Banaswadi,3.5,20,400.0,"South Indian, Chettinad"
Fish Chain,Kammanahalli,3.5,12,300.0,"Seafood, BBQ, Burger, Biryani"
Andhra Biryanis,Nagawara,4.0,469,550.0,"Andhra, North Indian, Chinese, Biryani"
Just Shawarma,Kammanahalli,3.7,118,300.0,Arabian
Srinathjis,Banaswadi,3.6,62,550.0,"North Indian, Cafe, Chinese"
Bhagini,Banaswadi,2.3,119,800.0,"Andhra, South Indian, Chinese, North Indian"
Chinnu's Mane Biryani,Banaswadi,3.5,10,300.0,Biryani
K.G.N Kabbab Corner,Kalyan Nagar,4.0,83,500.0,"North Indian, Kebab"
Desi Grill,Rammurthy Nagar,3.0,60,400.0,"Chinese, North Indian"
Zyara,HBR Layout,3.9,191,650.0,"North Indian, Mughlai, Chinese"
Aroma Spice,Kalyan Nagar,3.7,83,800.0,"Andhra, Chinese, North Indian, Seafood"
Le Spice Restaurant,Banaswadi,3.4,122,700.0,"Arabian, Kerala, North Indian, Chinese, Beverages"
Kadai Restaurant,Hennur,2.9,27,350.0,"North Indian, Mughlai, Chinese"
Pathaan Sir,Kammanahalli,3.3,58,300.0,"Rolls, Chinese"
Hyderabad Biryaani Palace,Kammanahalli,3.7,301,750.0,"Biryani, Hyderabadi, Chinese"
Kesar Sweet Shop And Fast Food,Kalyan Nagar,3.9,47,500.0,"North Indian, South Indian, Chinese, Street Food, Mithai"
Delicacy,Kalyan Nagar,4.1,448,500.0,"Chinese, Thai, Momos"
Jambudweepa Juice Bar,Banaswadi,3.8,24,150.0,"Beverages, Healthy Food"
Kettle & Kegs,Kammanahalli,2.9,9,200.0,"Tea, Beverages"
Pizza Baker's,Nagawara,3.3,17,450.0,"Pizza, Burger, Fast Food, Beverages"
Sri Banashankari Donne Biriyani,Banaswadi,3.8,74,150.0,Biryani
Ahaan Restaurant,RT Nagar,2.8,77,300.0,"North Indian, Chinese"
Sri Durga Nellore Mess,Banaswadi,3.3,351,350.0,"Andhra, South Indian, Biryani"
Mystery House,Banaswadi,3.4,6,300.0,Fast Food
Serranos Mexican Grill,Nagawara,3.7,86,400.0,Mexican
Global Flavors,Banaswadi,3.5,131,1000.0,"North Indian, Fast Food, Beverages"
Kitchen King,Nagawara,3.8,306,400.0,"Rolls, Fast Food, Biryani"
New Kadai,Kalyan Nagar,3.4,23,550.0,"North Indian, Chinese"
Onesta,Kammanahalli,4.4,2589,600.0,"Pizza, Cafe, Italian"
Biriyani House,Nagawara,3.7,600,600.0,"Andhra, North Indian, Biryani, Beverages"
Ranga's Paradise,Banaswadi,3.3,38,150.0,South Indian
M.M.A Kabab Rolls & Biriyani Center,Banaswadi,3.6,92,400.0,"Arabian, Mughlai, Chinese, Kebab, Fast Food"
Hotel Kakatiya,Nagawara,3.7,49,350.0,"Andhra, North Indian, Chinese, Biryani"
Momma's Pastries Fine Bakery And Cafe,Banaswadi,3.4,10,500.0,"Bakery, Desserts, Fast Food"
Chocs Cafe,RT Nagar,3.6,23,400.0,"Fast Food, Desserts, Beverages"
2 Statez,Kalyan Nagar,3.7,209,600.0,"Kerala, Seafood, South Indian, North Indian, Chinese"
Hongkong Noodles,Kalyan Nagar,3.8,80,750.0,Chinese
Sigree Global Grill,Kalyan Nagar,4.4,1099,1400.0,"North Indian, BBQ"
Cafezone,Banaswadi,3.7,27,250.0,"Burger, Fast Food, Beverages"
Curries & Chillies,Banaswadi,3.3,19,300.0,"Andhra, Biryani, Chinese"
Chaat Street,Kalyan Nagar,4.1,498,250.0,"Street Food, North Indian"
29 Degrees North,Banaswadi,3.9,283,250.0,"North Indian, Fast Food, Street Food"
Meat And Eat,Banaswadi,3.3,33,500.0,"Fast Food, Burger"
Dr. Harry's Chick Blast,Rammurthy Nagar,3.5,26,500.0,Continental
The Pipe Rack,Kalyan Nagar,3.9,35,700.0,Cafe
Smoke - The Sizzler House,Nagawara,2.8,100,800.0,"Continental, North Indian, Chinese, Steak"
Jai Mataji Farshan & Sweets,Banaswadi,3.8,48,150.0,"Mithai, Street Food"
Aroma's Hyderabad House,Nagawara,4.2,533,800.0,"Mughlai, Biryani, North Indian"
American Desserts,Banaswadi,3.6,23,500.0,"Desserts, Bakery"
Sufi Restaurant & Cafe,Banaswadi,3.7,105,800.0,"Iranian, Mughlai, Chinese"
Shawarma King Restaurant,Kammanahalli,3.4,39,500.0,"Arabian, Chinese, North Indian"
Chickpet Donne Biryani House,Kammanahalli,3.8,185,250.0,Biryani
Dhadoom,Kalyan Nagar,3.8,22,400.0,Fast Food
Hatti Kaapi,Nagawara,3.6,33,200.0,"South Indian, Beverages"
Mainland China,Kalyan Nagar,4.5,1013,1100.0,"Chinese, Momos"
T-hut Cafe,Banaswadi,3.6,21,300.0,"Chinese, Beverages"
Natural Ice Cream,Kalyan Nagar,4.3,259,200.0,"Ice Cream, Beverages"
The Mangalorean,Kammanahalli,4.1,229,550.0,"Konkan, Mangalorean, Seafood"
Kolkata Famous Kati Rolls,Hennur,3.8,53,100.0,"Fast Food, Rolls"
Altaf's Chillies Restaurant,Frazer Town,3.8,232,500.0,"North Indian, Chinese"
NTR Cafe,Kammanahalli,2.9,4,100.0,"Chinese, Fast Food"
Khyma Biryani,Kalyan Nagar,3.9,240,600.0,Biryani
Kolkata Rolls & Chowmein,Banaswadi,3.5,35,100.0,Rolls
Al-Baik Tandoori Restaurant,Nagawara,3.6,113,450.0,"North Indian, Chinese, Arabian, Biryani, Rolls"
Chung Wah,Banaswadi,3.3,145,900.0,"Chinese, Thai, Momos, Vietnamese"
Sri Ruchi Restuarant,Banaswadi,3.7,71,450.0,"Andhra, South Indian, North Indian"
Vanas,Kammanahalli,4.0,72,400.0,"Mangalorean, Seafood"
Olive Garden,Kalyan Nagar,3.7,214,700.0,"Arabian, North Indian, Chinese, Beverages"
Momoz,Kammanahalli,3.9,186,500.0,"Chinese, Momos"
Spice Corner,Nagawara,3.5,16,800.0,"North Indian, Chinese, Biryani"
Mani's Dum Biryani,Kalyan Nagar,3.5,119,750.0,"Biryani, Kebab"
Chichaba's Taj,Kalyan Nagar,3.8,289,600.0,"Biryani, North Indian, Mughlai"
Tamarind,Rammurthy Nagar,2.7,227,750.0,"Chinese, North Indian, Continental"
Chung's Chinese Corner,Kalyan Nagar,2.8,234,700.0,Chinese
Sreeraj Lassi Bar,Kammanahalli,4.0,120,150.0,"Beverages, Desserts, Juices"
Rahhams,Kammanahalli,3.5,312,700.0,"Mughlai, North Indian, Chinese"
Spice Kitchen,Kalyan Nagar,3.9,321,750.0,"Andhra, Biryani, Seafood, North Indian"
Patio - The Resto Cafe,Banaswadi,3.7,73,500.0,"Cafe, Continental, Chinese, Momos"
The Juice Shop - Juicery And Kitchen,Kalyan Nagar,3.9,39,300.0,"Beverages, Fast Food, Bakery"
Chubalas Curry And Rice,Kammanahalli,4.0,209,550.0,"Naga, Goan, Seafood, Chinese"
Sri Sai 99 Variety Dosa,Nagawara,3.7,27,200.0,South Indian
Roll Over,Kalyan Nagar,4.1,174,500.0,"Ice Cream, Beverages, Fast Food"
SV Indian Restaurant,Hennur,3.5,13,400.0,"North Indian, Chinese"
Zabi,HBR Layout,3.8,173,300.0,Biryani
Brewklyn Microbrewery,Kalyan Nagar,4.4,2329,1400.0,"American, South Indian, Thai, Pizza, Italian"
Teburu,Kalyan Nagar,4.4,203,800.0,"Asian, Chinese, Japanese, BBQ"
Based On A True Story- Bistro,Kammanahalli,4.3,496,800.0,"Cafe, Burger, Italian, Desserts"
Aqni,HBR Layout,3.9,358,650.0,"North Indian, Mughlai, Biryani, Rolls"
The Coorg Food Co.,Kalyan Nagar,4.3,473,750.0,South Indian
OKI,Kammanahalli,4.5,418,1200.0,"Asian, European, Italian, Korean, Malaysian, Thai, Vietnamese, Chinese"
Sultan's Biryani,Kalyan Nagar,2.9,38,700.0,"Biryani, North Indian"
Mahadii's,Kammanahalli,3.9,219,600.0,"Andhra, North Indian, Chinese"
Float Brewery,Kalyan Nagar,4.3,416,1800.0,European
Swagatham Delux - Rayalaseema Spices,Nagawara,3.4,24,600.0,"Biryani, South Indian, Chinese"
Fragrant Kitchen,Kalyan Nagar,3.8,110,700.0,"North Indian, Chinese, Cafe, Desserts"
Coorg Lunch Home,Kammanahalli,3.6,57,300.0,South Indian
Thalassery Plaza,Hennur,3.6,30,400.0,"Kerala, North Indian, Chinese"
Naina Nand Food Express,HBR Layout,3.3,8,300.0,"North Indian, Chinese"
Noodles,Banaswadi,3.8,98,500.0,"Chinese, Momos"
Huko Mukho Hangla,Kammanahalli,4.0,175,400.0,"Bengali, Seafood"
7 Plates,Kalyan Nagar,3.6,519,600.0,"North Indian, Mughlai, Rolls, Fast Food"
Kanthari,Kalyan Nagar,3.9,93,400.0,"North Indian, Kerala, Chinese"
Draggers CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Kalyan Nagar,4.1,274,900.0,"Cafe, Continental, North Indian"
Donne Biriyani Mane,Kalyan Nagar,3.7,220,400.0,"Biryani, Kebab"
Madurai Canteen,Nagawara,2.9,38,200.0,"Chettinad, South Indian"
Saffron Vegetarian Cuisine,Banaswadi,4.0,667,700.0,"North Indian, Continental, Chinese, Mexican, Italian"
Cafe P Square,Kalyan Nagar,3.8,26,250.0,"Street Food, Beverages, Fast Food"
China Pearl,Kalyan Nagar,4.1,155,1100.0,"Chinese, Momos"
Indie Fusion Multi Cuisine Restaurant,Kalyan Nagar,3.3,4,400.0,"Fast Food, BBQ, Rolls, Arabian, North Indian"
Jingo BBQ & Burgers,Kammanahalli,3.9,41,550.0,"Burger, BBQ"
Manasa Fishland,Kalyan Nagar,4.1,201,650.0,"Seafood, South Indian, North Indian"
Cafe Thulp,Kammanahalli,4.0,722,1000.0,"Cafe, Burger, Italian, Salad"
Little Italy,Kalyan Nagar,4.2,405,1500.0,"Salad, Healthy Food, Italian, Juices, Mexican, Pizza"
Wokanaka - The Casual Chinese Pitstop,Kalyan Nagar,4.1,223,500.0,"Asian, Chinese, Thai, Seafood, Momos"
Maraheb Restaurant,Kalyan Nagar,4.2,219,1000.0,Arabian
Sidra Eatery,Kammanahalli,3.9,28,400.0,"North Indian, Continental"
Paradox Rest-O-Cafe,Kalyan Nagar,3.7,124,600.0,"Continental, Steak"
4 Seasons Restaurant,Kalyan Nagar,3.7,399,1000.0,"North Indian, Seafood, Middle Eastern, Chinese"
New Peking,Kammanahalli,4.1,383,700.0,"Chinese, Malaysian"
Kenny's Restaurant,Banaswadi,3.4,38,450.0,Chinese
Anand Sweets and Savouries,Kammanahalli,4.0,99,400.0,"Mithai, Street Food"
Yuan Restaurant,HBR Layout,3.8,202,600.0,"Chinese, Momos"
The ThickShake Factory,Kalyan Nagar,4.1,107,350.0,"Beverages, Juices"
The French Corner,Kalyan Nagar,3.4,10,400.0,"Bakery, Desserts, Fast Food"
Punjab Bistro,Nagawara,4.0,165,500.0,North Indian
Sunny Side Bistro,Frazer Town,3.8,362,700.0,"Cafe, Continental"
Hotel The Shack,Rammurthy Nagar,3.9,116,1000.0,"North Indian, Biryani"
Night Food Joint,Nagawara,2.9,619,500.0,"North Indian, Chinese"
Art of Biryani & Curries,Rammurthy Nagar,3.4,9,250.0,Biryani
Vera Italiano,Kalyan Nagar,4.1,198,600.0,Italian
Asia In A Box,Kammanahalli,3.0,16,550.0,"Thai, Vietnamese, Indonesian, Asian"
Brew Bakes Cafe,Kalyan Nagar,3.7,46,500.0,Cafe
Punjabi Tadka,Nagawara,3.4,31,400.0,"North Indian, Chinese"
Rasapoorna,Nagawara,3.2,6,500.0,"Andhra, Chinese, North Indian"
Chulha Chauki Da Dhaba,Kalyan Nagar,4.1,1208,800.0,North Indian
Naidoo's Donne Biryani,Kammanahalli,3.5,13,300.0,"South Indian, Biryani"
Aioli,Kalyan Nagar,4.2,783,1400.0,"Mediterranean, Continental, Italian, Salad"
RawStraw,Kalyan Nagar,4.1,172,700.0,"Continental, Thai, Arabian, Mexican"
The Urban Roof,Kalyan Nagar,3.9,77,800.0,"Italian, Chinese, Continental"
Kiko,Kammanahalli,3.4,10,500.0,"Salad, Chinese"
Udupi Gardenia,Banaswadi,3.4,19,400.0,South Indian
S L V Food Joint,Kalyan Nagar,3.4,14,250.0,"North Indian, Rolls"
Biriyani Nights,Kammanahalli,3.0,119,500.0,"Biryani, Kebab, Continental"
Sherlock's Pub,Kalyan Nagar,3.8,360,1300.0,"Continental, North Indian, Chinese, Italian"
Cake House - Story Cafe,Kalyan Nagar,3.9,78,650.0,"Bakery, Desserts"
Khan Saheb Grills and Rolls,Kalyan Nagar,3.1,34,350.0,"Fast Food, Rolls"
Venky's Xprs,Kalyan Nagar,3.7,35,350.0,"Fast Food, Raw Meats"
Marakachi,Kalyan Nagar,3.7,83,600.0,Chettinad
Eat Well,Banaswadi,3.6,113,400.0,North Indian
FireHouse - Bar & Kitchen,HBR Layout,3.9,751,1500.0,"Continental, American, Chinese, BBQ, Salad, Italian"
Samprith Gowdru Mudde Hotel,Rammurthy Nagar,3.5,16,300.0,South Indian
Shanghai Times,HBR Layout,3.5,9,500.0,Chinese
Foodie's Affair,Nagawara,3.5,22,400.0,"North Indian, Chinese"
Sanju's Super Kitchen,Kammanahalli,3.3,5,400.0,"Fast Food, Burger, Pizza, Sandwich"
DinePost9,Banaswadi,3.9,367,450.0,"North Indian, South Indian, Chinese, Continental"
Delicious Momos,Kalyan Nagar,3.9,48,200.0,"Street Food, Momos"
My China,Kalyan Nagar,3.0,14,600.0,"Chinese, Asian, Malaysian"
Reddy's Naati Mane,Banaswadi,3.4,15,400.0,"South Indian, BBQ"
Wok N Roll,Nagawara,3.9,82,400.0,"Chinese, Momos"
Bangalore Vibes,Hennur,3.2,4,300.0,"North Indian, Chinese"
"Cakes, Crumbs & Magic",Kalyan Nagar,3.3,4,300.0,Bakery
The Flavours,Kalyan Nagar,3.2,7,500.0,"Kerala, Chinese, Arabian, Biryani"
Biryani Treats,Kalyan Nagar,2.6,45,650.0,Biryani
Chai Kada,Kalyan Nagar,3.6,10,100.0,"Beverages, Fast Food"
Paper Cup Cafe,Kalyan Nagar,3.5,11,400.0,"Tea, Coffee, Fast Food"
OvenTreats - Patisserie.Bistro,Kalyan Nagar,4.0,81,1000.0,American
Coffee@Arens,Banaswadi,3.8,77,550.0,"Cafe, Fast Food"
The Chef's Kitchen,Kalyan Nagar,3.8,311,800.0,"Continental, North Indian, Chinese"
Arabian Shawarma,Kammanahalli,3.7,30,150.0,Arabian
Parantha Singh,Kalyan Nagar,3.7,31,300.0,North Indian
Crunchees Cafeteria,Kalyan Nagar,3.4,11,400.0,Fast Food
Nalukettu,HBR Layout,3.5,4,450.0,Kerala
Urban Kitchen,Banaswadi,3.4,6,400.0,"Asian, North Indian"
Kabsa House,Kalyan Nagar,3.6,24,500.0,North Indian
Cafe China,Banaswadi,3.7,42,500.0,Chinese
